Entry ID,Total Number of Polymer Instances (Chains),Entity Polymer Type,Polymer Entity Sequence Length,Total Number of polymer Entity Instances (Chains) per Entity
"1A38",4,"Protein",245,2
,,"Protein",20,2
"1BZ0",4,"Protein",141,2
,,"Protein",146,2
"1CAX",6,"Protein",181,3
,,"Protein",184,3
"1CPC",4,"Protein",162,2
,,"Protein",172,2
"1DD3",4,"Protein",128,2
,,"Protein",32,2
"1DVF",4,"Protein",108,1
,,"Protein",116,1
,,"Protein",107,1
,,"Protein",121,1
"1F3D",4,"Protein",219,2
,,"Protein",217,2
"1FHJ",4,"Protein",141,2
,,"Protein",146,2
"1FVU",4,"Protein",133,2
,,"Protein",125,2
"1G0U",28,"Protein",250,2
,,"Protein",245,2
,,"Protein",243,2
,,"Protein",241,2
,,"Protein",234,2
,,"Protein",248,2
,,"Protein",252,2
,,"Protein",222,2
,,"Protein",205,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",241,2
,,"Protein",266,2
,,"Protein",196,2
"1G2C",24,"Protein",52,12
,,"Protein",43,12
"1G65",30,"Protein",250,2
,,"Protein",244,2
,,"Protein",241,2
,,"Protein",242,2
,,"Protein",233,2
,,"Protein",244,2
,,"Protein",243,2
,,"Protein",222,2
,,"Protein",204,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",233,2
,,"Protein",196,2
,,"Protein",5,2
"1HIO",4,"Protein",95,1
,,"Protein",90,1
,,"Protein",93,1
,,"Protein",76,1
"1HTM",6,"Protein",27,3
,,"Protein",138,3
"1I85",4,"Protein",110,2
,,"Protein",126,2
"1IGF",4,"Protein",219,2
,,"Protein",221,2
"1IXX",6,"Protein",129,3
,,"Protein",123,3
"1J05",4,"Protein",111,2
,,"Protein",121,2
"1J40",8,"Protein",141,4
,,"Protein",146,4
"1JTH",4,"Protein",82,2
,,"Protein",77,2
"1KIL",5,"Protein",66,1
,,"Protein",62,1
,,"Protein",74,1
,,"Protein",66,1
,,"Protein",49,1
"1KO6",4,"Protein",187,2
,,"Protein",64,2
"1MF2",4,"Protein",215,2
,,"Protein",226,2
"1OED",5,"Protein",227,2
,,"Protein",250,1
,,"Protein",260,1
,,"Protein",260,1
"1PG7",8,"Protein",217,2
,,"Protein",213,2
,,"Protein",210,2
,,"Protein",220,2
"1PWV",4,"Protein",776,2
,,"Protein",20,2
"1QI8",4,"Protein",141,2
,,"Protein",146,2
"1QSH",4,"Protein",141,2
,,"Protein",146,2
"1R24",4,"Protein",206,2
,,"Protein",217,2
"1RYP",28,"Protein",243,2
,,"Protein",250,2
,,"Protein",244,2
,,"Protein",233,2
,,"Protein",222,2
,,"Protein",204,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",233,2
,,"Protein",241,2
,,"Protein",242,2
,,"Protein",244,2
,,"Protein",205,2
"1SDK",4,"Protein",141,2
,,"Protein",146,2
"1T60",24,"Protein",229,16
,,"Protein",227,8
"1UMR",4,"Protein",135,2
,,"Protein",125,2
"1V4L",6,"Protein",135,3
,,"Protein",125,3
"1WT5",4,"Protein",127,2
,,"Protein",122,2
"1WYU",8,"Protein",438,4
,,"Protein",474,4
"1X9F",12,"Protein",145,3
,,"Protein",153,3
,,"Protein",140,3
,,"Protein",151,3
"1XF4",4,"Protein",214,2
,,"Protein",230,2
"1XK4",12,"Protein",113,6
,,"Protein",93,6
"1Y4G",4,"Protein",141,2
,,"Protein",146,2
"1Y4V",4,"Protein",141,2
,,"Protein",146,2
"1Y74",4,"Protein",57,2
,,"Protein",50,2
"1Y76",4,"Protein",62,2
,,"Protein",60,2
"1YTV",4,"Protein",366,2
,,"Protein",84,2
"1Z6O",24,"Protein",212,12
,,"Protein",191,12
"2A6J",4,"Protein",214,2
,,"Protein",222,2
"2ACL",8,"Protein",244,4
,,"Protein",238,4
"2AI0",8,"Protein",217,4
,,"Protein",224,4
"2B2T",4,"Protein",187,2
,,"Protein",115,1
,,"Protein",20,1
"2BG9",5,"Protein",370,2
,,"Protein",370,1
,,"Protein",369,1
,,"Protein",370,1
"2BKY",4,"Protein",97,2
,,"Protein",89,2
"2BR2",24,"Protein",275,12
,,"Protein",248,12
"2BSK",6,"Protein",89,3
,,"Protein",90,3
"2D1P",9,"Protein",140,3
,,"Protein",119,3
,,"Protein",95,3
"2DE6",6,"Protein",392,3
,,"Protein",115,3
"2DN2",4,"Protein",141,2
,,"Protein",146,2
"2F9I",4,"Protein",327,2
,,"Protein",285,2
"2G75",4,"Protein",245,2
,,"Protein",213,2
"2GIA",4,"Protein",195,2
,,"Protein",187,2
"2GID",8,"Protein",195,4
,,"Protein",187,4
"2GJX",8,"Protein",507,4
,,"Protein",507,4
"2GJZ",4,"Protein",217,2
,,"Protein",221,2
"2GPV",9,"Protein",230,6
,,"Protein",22,3
"2GSG",4,"Protein",116,2
,,"Protein",118,2
"2H4C",8,"Protein",122,4
,,"Protein",122,4
"2H8F",4,"Protein",143,2
,,"Protein",146,2
"2HHB",4,"Protein",146,2
,,"Protein",141,2
"2HWN",6,"Protein",45,4
,,"Protein",22,2
"2HYB",18,"Protein",130,6
,,"Protein",102,6
,,"Protein",136,6
"2IO4",4,"Protein",249,2
,,"Protein",246,2
"2OF5",12,"Protein",114,7
,,"Protein",118,5
"2P80",4,"Protein",341,3
,,"Protein",123,1
"2R80",4,"Protein",141,2
,,"Protein",146,2
"2VYN",4,"Protein",331,3
,,"Protein",334,1
"2W72",4,"Protein",141,1
,,"Protein",146,2
,,"Protein",141,1
"2WNR",6,"Protein",271,3
