Entry ID,Total Number of Polymer Instances (Chains),Entity Polymer Type,Polymer Entity Sequence Length,Total Number of polymer Entity Instances (Chains) per Entity
"1E8O",5,"Protein",106,2
,,"RNA",50,1
,,"Protein",85,2
"2QL2",8,"Protein",60,2
,,"Protein",60,2
,,"DNA",16,2
,,"DNA",16,2
"3GUT",12,"Protein",273,4
,,"Protein",312,4
,,"DNA",26,2
,,"DNA",26,2
"4Y8G",34,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",6,6
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"5CD1",6,"Protein",289,2
,,"Protein",497,2
,,"RNA",77,2
"5M0I",9,"Protein",246,4
,,"RNA",28,2
,,"Protein",24,3
"5W7G",44,"Protein",140,21
,,"Protein",132,21
,,"DNA",252,2
"5ZKO",6,"Protein",59,2
,,"Protein",80,2
,,"DNA",20,2
"6D5F",54,"Protein",199,26
,,"Protein",137,26
,,"DNA",336,2
"6LT7",6,"Protein",141,2
,,"Protein",198,2
,,"RNA",50,2
"6M4G",10,"DNA",147,1
,,"Protein",136,2
,,"Protein",103,2
,,"Protein",115,2
,,"DNA",147,1
,,"Protein",126,2
"6PPQ",8,"Protein",86,1
,,"Protein",96,1
,,"Protein",95,1
,,"Protein",129,1
,,"Protein",80,1
,,"Protein",77,1
,,"Protein",119,1
,,"RNA",6,1
"6SKO",7,"Protein",1017,1
,,"Protein",775,1
,,"Protein",933,1
,,"Protein",845,1
,,"Protein",868,1
,,"Protein",971,1
,,"DNA",85,1
"7CVO",6,"Protein",165,2
,,"Protein",103,2
,,"DNA",25,1
,,"DNA",25,1
"7DBH",10,"Protein",139,2
,,"Protein",106,2
,,"Protein",129,2
,,"DNA",145,1
,,"Protein",133,2
,,"DNA",145,1
"7P30",14,"Protein",868,2
,,"Protein",775,2
,,"Protein",1017,2
,,"Protein",845,2
,,"DNA",53,1
,,"DNA",53,1
,,"Protein",1006,2
,,"Protein",933,2
"7T22",10,"Protein",471,6
,,"Protein",148,3
,,"DNA",20,1
"7T23",9,"Protein",471,6
,,"Protein",148,2
,,"DNA",20,1
"7X57",10,"Protein",139,4
,,"Protein",106,4
,,"DNA",145,1
,,"DNA",145,1
