pdockq1,pdockq2,pred_contact,pdb_id,IntraclashesGroup1,IntraclashesGroup2,Interaction Energy,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,ptm_iptm
0.062,0.425,93.0,5LE5_C_5LE5_G_1,39.2286,52.2869,12.1338,-6.94748,-2.84245,-28.8682,-3.42159,41.543,-36.0131,23.2069,18.0049,7.93701,0,0,0,0.734327,7.77185,-0.250687,0,0,-0.948693,0,0.0,2.384,494,73,6,6,0,0.6006476620280443
0.037,0.481,100.0,5LE5_C_5LE5_G_2,46.7919,56.989,27.6384,-6.10045,-4.67682,-31.2416,-3.30651,44.3991,-40.3334,44.0217,18.1974,7.39247,0,0,0,0.678432,12.6671,-0.644898,0,0,-0.747125,0,0.0,2.384,494,72,17,16,2,0.5790139812962213
0.033,0.479,107.0,5LE5_C_5LE5_G_4,42.4267,61.3565,40.9717,-4.67538,-5.25243,-30.4924,-3.13735,45.9025,-38.7099,53.5827,15.5217,8.91616,0,0,0,0.35077,15.9072,-0.381588,0,0,-0.652963,0,2.77556e-17,2.384,494,75,21,19,4,0.5439993398606253
0.06,0.463,102.0,5LE5_C_5LE5_G_0,41.5814,57.5138,25.9025,-4.51671,-5.86346,-30.9121,-4.33365,46.064,-38.8614,37.9639,17.82,9.17627,0,0,0,0.712742,10.422,-0.328235,0,0,-1.0188,0,2.77556e-17,2.384,494,72,15,14,1,0.6564965610773382
0.032,0.515,102.0,5LE5_C_5LE5_G_3,36.7768,44.9533,34.6214,-6.01652,-6.32847,-32.2413,-3.8746,47.6397,-40.1875,50.0952,18.5974,7.39585,0,0,0,0.50646,14.5924,-0.277905,0,0,-0.686803,0,0.0,2.384,494,74,19,17,4,0.5663576557359151
0.028,0.187,19.0,5LE5_C_5LE5_H_0,40.6615,45.5712,5.46505,-0.807644,-0.6975,-6.22375,-2.53977,10.4282,-7.35321,8.5516,5.07884,0.628823,0,0,0,0.354607,1.91589,-0.907567,0,0,-1.09613,0,0.0485289,2.384,482,22,5,5,0,0.48094127188121216
0.022,0.2,26.0,5LE5_C_5LE5_H_1,43.7925,64.415,34.1226,-0.231998,-0.0122227,-9.10055,-3.06987,15.6881,-11.069,35.913,7.08757,0.545523,0,0,0,0.571423,3.50466,-1.18836,0,0,-1.10933,0,0.0983307,2.384,482,25,8,8,0,0.4583387711518626
0.021,0.222,22.0,5LE5_C_5LE5_H_2,33.4774,61.9322,29.8556,-0.908825,-0.82148,-8.95815,0.267605,12.5717,-12.0143,33.2348,6.54416,-5.11591e-13,0,0,0,0.0771251,2.74814,-0.641849,0,0,0.504822,0,1.66533e-16,2.384,482,20,8,8,0,0.3985776184387268
0.019,0.174,31.0,5LE5_C_5LE5_H_4,48.2996,58.0995,44.2079,-0.352485,-0.0180542,-9.74562,-3.12784,16.7548,-11.9917,46.6742,7.30339,0.494763,0,0,0,0.450744,3.18477,-1.25616,0,0,-1.07527,0,0.097025,2.384,482,25,11,11,0,0.3722378257250874
0.018,0.208,26.0,5LE5_C_5LE5_H_3,44.5108,52.1562,21.6715,-0.217433,-0.0134388,-8.09593,-3.0613,14.2957,-9.60614,22.8092,6.17845,0.447129,0,0,0,0.273654,2.17257,-0.328377,0,0,-1.10073,0,0.090737,2.384,482,22,7,7,0,0.3803955246495716
0.026,0.435,26.0,5LE5_a_5LE5_I_0,49.1421,59.8751,4.43112,-1.08782,-2.83822,-11.0012,-2.62039,12.5107,-14.7239,16.3887,5.8436,1.87589,0,0,0,0.127225,1.02907,0.0661878,0,0,-0.109662,0,5.55112e-17,2.384,424,34,4,4,0,0.4433507096202645
0.017,0.455,46.0,5LE5_a_5LE5_I_2,77.4509,74.9281,108.12,-0.86513,-2.95855,-16.805,-3.07736,24.2117,-22.219,117.2,8.08719,4.00744,0,0,0,0.447596,12.4222,0.101208,0,0,-0.0100562,0,5.55112e-17,2.384,424,46,18,16,5,0.2859589162906402
0.013,0.177,32.0,5LE5_a_5LE5_I_4,65.6131,129.484,162.18,-0.281431,-0.352817,-10.2386,0.524778,15.368,-14.055,162.075,4.69383,4.19724,0,0,0,0.132824,1.99896,-0.0358341,0,0,0.151256,0,5.55112e-17,2.384,424,45,11,11,0,0.19811059569800904
0.025,0.422,34.0,5LE5_a_5LE5_I_1,54.7033,67.3101,14.7994,-0.418466,-2.67221,-12.9232,-3.12425,15.5261,-17.2435,27.0812,6.53853,1.94988,0,0,0,0.081728,1.57349,0.0908006,0,0,-0.0872304,0,5.55112e-17,2.384,424,39,5,5,0,0.4296776574567558
0.013,0.134,28.0,5LE5_a_5LE5_I_3,64.3646,110.831,35.7466,-0.0850612,-1.34263,-8.97451,-0.00453968,13.2006,-11.4797,36.9729,5.78591,1.83939,0,0,0,0.112195,2.16549,0.0158841,0,0,-0.293785,0,0.0,2.384,424,35,7,7,0,0.2017026897459785
