Entry ID,Total Number of Polymer Instances (Chains),Entity Polymer Type,Polymer Entity Sequence Length,Total Number of polymer Entity Instances (Chains) per Entity
"1E8O",5,"Protein",85,2
,,"Protein",106,2
,,"RNA",50,1
"1JYQ",4,"Protein",4,2
,,"Protein",96,2
"2PO1",3,"RNA",10,1
,,"Protein",249,1
,,"Protein",277,1
"2QL2",8,"Protein",60,2
,,"Protein",60,2
,,"DNA",16,2
,,"DNA",16,2
"3EWF",8,"Protein",388,4
,,"Protein",5,4
"3GUT",12,"Protein",273,4
,,"Protein",312,4
,,"DNA",26,2
,,"DNA",26,2
"3IAB",3,"Protein",140,1
,,"Protein",158,1
,,"RNA",46,1
"3L2Q",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3L2R",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3L2U",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3L2V",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3L2W",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OS0",6,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
,,"DNA",13,1
,,"DNA",17,1
"3OS1",5,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
,,"DNA",30,1
"3OS2",5,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
,,"DNA",30,1
"3OY9",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYA",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYB",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYC",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYD",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYE",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYF",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYG",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYH",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYI",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYJ",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYK",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYL",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYM",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3OYN",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3S3M",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"3S3N",4,"DNA",17,1
,,"Protein",395,2
,,"DNA",19,1
"3S3O",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"4AV1",6,"Protein",223,4
,,"DNA",12,1
,,"DNA",12,1
"4BAC",5,"Protein",396,2
,,"DNA",19,1
,,"DNA",38,1
,,"DNA",17,1
"4BDY",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"4BDZ",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"4BE0",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"4BE1",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"4BE2",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"4E7H",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",19,1
"4E7I",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",19,1
"4E7J",5,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
,,"DNA",30,1
"4E7K",5,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
,,"DNA",30,1
"4E7L",6,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
,,"DNA",13,1
,,"DNA",17,1
"4FL8",4,"Protein",99,2
,,"Protein",7,1
,,"Protein",7,1
"4IKF",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"4IQR",12,"Protein",338,4
,,"DNA",20,2
,,"DNA",20,2
,,"Protein",13,4
"4Y8G",34,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",6,6
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"4ZTF",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"4ZTJ",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"5BK4",14,"Protein",868,2
,,"Protein",971,2
,,"Protein",933,2
,,"Protein",775,2
,,"Protein",1017,2
,,"Protein",845,2
,,"DNA",60,1
,,"DNA",60,1
"5C8E",12,"Protein",305,8
,,"DNA",26,2
,,"DNA",26,2
"5CCB",3,"Protein",289,1
,,"Protein",497,1
,,"RNA",77,1
"5CCX",3,"Protein",289,1
,,"Protein",497,1
,,"RNA",77,1
"5CD1",6,"Protein",289,2
,,"Protein",497,2
,,"RNA",77,2
"5FRM",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"5FRN",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"5FRO",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"5HBU",13,"Protein",196,8
,,"DNA",12,4
,,"Protein",10,1
"5JUB",6,"Protein",310,2
,,"Protein",8,2
,,"DNA",20,1
,,"DNA",20,1
"5M0I",9,"Protein",246,4
