Entry ID,Total Number of Polymer Instances (Chains),Resolution (Å),Entity Polymer Type,Total Number of polymer Entity Instances (Chains) per Entity,ecod_count,ecod_id
1AB9,4.0,1.6,Protein,1,1,1.1.17.4
1AB9,4.0,1.6,Protein,1,1,1.1.17.4
1AB9,4.0,1.6,Protein,1,1,1.1.17.4
1AB9,4.0,1.6,Protein,1,1,1.1.17.4
1BBR,10.0,2.3,Protein,3,3,1.1.5.198
1BBR,10.0,2.3,Protein,1,3,1.1.5.198
1BBR,10.0,2.3,Protein,1,3,1.1.5.198
1BBR,10.0,2.3,Protein,3,3,1.1.5.198
1BBR,10.0,2.3,Protein,2,3,1.1.5.198
1BHX,4.0,2.3,Protein,1,1,1.1.5.198
1BHX,4.0,2.3,Protein,1,1,1.1.5.198
1BHX,4.0,2.3,Protein,1,1,1.1.5.198
1BHX,4.0,2.3,Protein,1,1,1.1.5.198
1C51,8.0,4,Protein,1,0,[]
1C51,8.0,4,Protein,1,0,[]
1C51,8.0,4,Protein,1,0,[]
1C51,8.0,4,Protein,1,0,[]
1C51,8.0,4,Protein,1,0,[]
1C51,8.0,4,Protein,1,0,[]
1C51,8.0,4,Protein,1,0,[]
1C51,8.0,4,Protein,1,0,[]
1DEQ,14.0,3.5,Protein,4,8,269.1.1.2
1DEQ,14.0,3.5,Protein,4,8,269.1.1.2
1DEQ,14.0,3.5,Protein,4,8,269.1.1.2
1DEQ,14.0,3.5,Protein,2,8,269.1.1.2
1FE1,18.0,3.8,Protein,2,0,[]
1FE1,18.0,3.8,Protein,2,0,[]
1FE1,18.0,3.8,Protein,2,0,[]
1FE1,18.0,3.8,Protein,2,0,[]
1FE1,18.0,3.8,Protein,2,0,[]
1FE1,18.0,3.8,Protein,2,0,[]
1FE1,18.0,3.8,Protein,2,0,[]
1FE1,18.0,3.8,Protein,2,0,[]
1FE1,18.0,3.8,Protein,2,0,[]
1FPH,4.0,2.5,Protein,1,1,1.1.5.198
1FPH,4.0,2.5,Protein,1,1,1.1.5.198
1FPH,4.0,2.5,Protein,1,1,1.1.5.198
1FPH,4.0,2.5,Protein,1,1,1.1.5.198
1FZB,8.0,2.9,Protein,2,4,269.1.1.2
1FZB,8.0,2.9,Protein,2,4,269.1.1.2
1FZB,8.0,2.9,Protein,2,4,269.1.1.2
1FZB,8.0,2.9,Protein,2,4,269.1.1.2
1FZC,10.0,2.3,Protein,2,4,269.1.1.2
1FZC,10.0,2.3,Protein,2,4,269.1.1.2
1FZC,10.0,2.3,Protein,2,4,269.1.1.2
1FZC,10.0,2.3,Protein,2,4,269.1.1.2
1FZC,10.0,2.3,Protein,2,4,269.1.1.2
1FZF,10.0,2.7,Protein,2,4,269.1.1.2
1FZF,10.0,2.7,Protein,2,4,269.1.1.2
1FZF,10.0,2.7,Protein,2,4,269.1.1.2
1FZF,10.0,2.7,Protein,4,4,269.1.1.2
1FZG,10.0,2.5,Protein,2,4,269.1.1.2
1FZG,10.0,2.5,Protein,2,4,269.1.1.2
1FZG,10.0,2.5,Protein,2,4,269.1.1.2
1FZG,10.0,2.5,Protein,4,4,269.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G0U,28.0,2.4,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1G65,30.0,2.25,Protein,2,28,210.1.1.2
1GCT,4.0,1.6,Protein,1,1,1.1.17.4
1GCT,4.0,1.6,Protein,1,1,1.1.17.4
1GCT,4.0,1.6,Protein,1,1,1.1.17.4
1GCT,4.0,1.6,Protein,1,1,1.1.17.4
1GHA,4.0,2.2,Protein,1,1,1.1.17.4
1GHA,4.0,2.2,Protein,1,1,1.1.17.4
1GHA,4.0,2.2,Protein,1,1,1.1.17.4
1GHA,4.0,2.2,Protein,1,1,1.1.17.4
1GHB,4.0,2,Protein,1,1,1.1.17.4
1GHB,4.0,2,Protein,1,1,1.1.17.4
1GHB,4.0,2,Protein,1,1,1.1.17.4
1GHB,4.0,2,Protein,1,1,1.1.17.4
1GL2,4.0,1.9,Protein,1,0,[]
1GL2,4.0,1.9,Protein,1,0,[]
1GL2,4.0,1.9,Protein,1,0,[]
1GL2,4.0,1.9,Protein,1,0,[]
1GMC,4.0,2.2,Protein,1,1,1.1.17.4
1GMC,4.0,2.2,Protein,1,1,1.1.17.4
1GMC,4.0,2.2,Protein,1,1,1.1.17.4
1GMC,4.0,2.2,Protein,1,1,1.1.17.4
1GMD,4.0,2.2,Protein,1,1,1.1.17.4
1GMD,4.0,2.2,Protein,1,1,1.1.17.4
1GMD,4.0,2.2,Protein,1,1,1.1.17.4
1GMD,4.0,2.2,Protein,1,1,1.1.17.4
1ILX,18.0,3.8,Protein,2,0,[]
1ILX,18.0,3.8,Protein,2,0,[]
1ILX,18.0,3.8,Protein,2,0,[]
1ILX,18.0,3.8,Protein,2,0,[]
1ILX,18.0,3.8,Protein,2,0,[]
1ILX,18.0,3.8,Protein,2,0,[]
1ILX,18.0,3.8,Protein,2,0,[]
1ILX,18.0,3.8,Protein,2,0,[]
1ILX,18.0,3.8,Protein,2,0,[]
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1IRU,28.0,2.75,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JD2,30.0,3,Protein,2,28,210.1.1.2
1JNV,8.0,4.4,Protein,3,0,[]
1JNV,8.0,4.4,Protein,3,0,[]
1JNV,8.0,4.4,Protein,1,0,[]
1JNV,8.0,4.4,Protein,1,0,[]
1KIL,5.0,2.3,Protein,1,0,[]
1KIL,5.0,2.3,Protein,1,0,[]
1KIL,5.0,2.3,Protein,1,0,[]
1KIL,5.0,2.3,Protein,1,0,[]
1KIL,5.0,2.3,Protein,1,0,[]
1L4A,5.0,2.95,Protein,1,0,[]
1L4A,5.0,2.95,Protein,1,0,[]
1L4A,5.0,2.95,Protein,1,0,[]
1L4A,5.0,2.95,Protein,1,0,[]
1L4A,5.0,2.95,Protein,1,0,[]
1LOF,4.0,2.3,Protein,1,2,10.1.1.23
1LOF,4.0,2.3,Protein,1,2,10.1.1.23
1LOF,4.0,2.3,Protein,1,2,10.1.1.23
1LOF,4.0,2.3,Protein,1,2,10.1.1.23
1LTJ,10.0,2.8,Protein,2,4,269.1.1.2
1LTJ,10.0,2.8,Protein,2,4,269.1.1.2
1LTJ,10.0,2.8,Protein,2,4,269.1.1.2
1LTJ,10.0,2.8,Protein,2,4,269.1.1.2
1LTJ,10.0,2.8,Protein,2,4,269.1.1.2
1LWU,16.0,2.8,Protein,4,8,269.1.1.2
1LWU,16.0,2.8,Protein,4,8,269.1.1.2
1LWU,16.0,2.8,Protein,4,8,269.1.1.2
1LWU,16.0,2.8,Protein,4,8,269.1.1.2
1M1J,10.0,2.7,Protein,2,4,269.1.1.2
1M1J,10.0,2.7,Protein,2,4,269.1.1.2
1M1J,10.0,2.7,Protein,2,4,269.1.1.2
1M1J,10.0,2.7,Protein,2,4,269.1.1.2
1M1J,10.0,2.7,Protein,2,4,269.1.1.2
1N0W,4.0,1.7,Protein,1,1,2004.1.1.237
1N0W,4.0,1.7,Protein,1,1,2004.1.1.237
1N0W,4.0,1.7,Protein,1,1,2004.1.1.237
1N0W,4.0,1.7,Protein,1,1,2004.1.1.237
1N73,10.0,2.9,Protein,2,4,269.1.1.2
1N73,10.0,2.9,Protein,2,4,269.1.1.2
1N73,10.0,2.9,Protein,2,4,269.1.1.2
1N73,10.0,2.9,Protein,4,4,269.1.1.2
1N7S,4.0,1.45,Protein,1,0,[]
1N7S,4.0,1.45,Protein,1,0,[]
1N7S,4.0,1.45,Protein,1,0,[]
1N7S,4.0,1.45,Protein,1,0,[]
1N86,10.0,3.2,Protein,2,4,269.1.1.2
1N86,10.0,3.2,Protein,2,4,269.1.1.2
1N86,10.0,3.2,Protein,2,4,269.1.1.2
1N86,10.0,3.2,Protein,2,4,269.1.1.2
1N86,10.0,3.2,Protein,2,4,269.1.1.2
1NRS,4.0,2.4,Protein,1,1,1.1.5.198
1NRS,4.0,2.4,Protein,1,1,1.1.5.198
1NRS,4.0,2.4,Protein,1,1,1.1.5.198
1NRS,4.0,2.4,Protein,1,1,1.1.5.198
1NY2,4.0,2.3,Protein,1,1,1.1.5.198
1NY2,4.0,2.3,Protein,1,1,1.1.5.198
1NY2,4.0,2.3,Protein,1,1,1.1.5.198
1NY2,4.0,2.3,Protein,1,1,1.1.5.198
1OED,5.0,"4, 4",Protein,1,5,5057.1.1.1
1OED,5.0,"4, 4",Protein,1,5,5057.1.1.1
1OED,5.0,"4, 4",Protein,1,5,5057.1.1.1
1OED,5.0,"4, 4",Protein,2,5,5057.1.1.1
1PYH,34.0,4.8,Protein,1,0,[]
1PYH,34.0,4.8,Protein,1,0,[]
1PYH,34.0,4.8,Protein,1,0,[]
1PYH,34.0,4.8,Protein,16,0,[]
1PYH,34.0,4.8,Protein,15,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1QZV,32.0,4.44,Protein,2,0,[]
1R42,5.0,2.2,Protein,1,1,2498.1.1.15
1R42,5.0,2.2,Protein,1,1,2498.1.1.15
1R42,5.0,2.2,Protein,1,1,2498.1.1.15
1R42,5.0,2.2,Protein,1,1,2498.1.1.15
1R42,5.0,2.2,Protein,1,1,2498.1.1.15
1R4L,5.0,3,Protein,1,1,2498.1.1.15
1R4L,5.0,3,Protein,1,1,2498.1.1.15
1R4L,5.0,3,Protein,1,1,2498.1.1.15
1R4L,5.0,3,Protein,1,1,2498.1.1.15
1R4L,5.0,3,Protein,1,1,2498.1.1.15
1RE3,8.0,2.45,Protein,2,4,269.1.1.2
1RE3,8.0,2.45,Protein,2,4,269.1.1.2
1RE3,8.0,2.45,Protein,2,4,269.1.1.2
1RE3,8.0,2.45,Protein,2,4,269.1.1.2
1RF1,10.0,2.53,Protein,2,4,269.1.1.2
1RF1,10.0,2.53,Protein,2,4,269.1.1.2
1RF1,10.0,2.53,Protein,4,4,269.1.1.2
1RF1,10.0,2.53,Protein,2,4,269.1.1.2
1RIW,4.0,2.04,Protein,1,1,1.1.5.198
1RIW,4.0,2.04,Protein,1,1,1.1.5.198
1RIW,4.0,2.04,Protein,1,1,1.1.5.198
1RIW,4.0,2.04,Protein,1,1,1.1.5.198
1RQF,14.0,2.89,Protein,8,8,375.1.7.1
1RQF,14.0,2.89,Protein,3,8,375.1.7.1
1RQF,14.0,2.89,Protein,1,8,375.1.7.1
1RQF,14.0,2.89,Protein,2,8,375.1.7.1
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
